id,name,artist,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri
0aad6vDkOmu9d1aFNvOwYC,¿Qué Ves?,Divididos,0.53,0.0395,107.908,0.0698,0.0315,0.000123,4,0.869,9,313733,-9.655,0.749,0,spotify:track:0aad6vDkOmu9d1aFNvOwYC
6BNMAb82xLiPv1ZngMQOBK,Iside (feat. Luchè),Lazza,0.795,0.146,84.965,0.293,0.125,0.0,4,0.714,11,152733,-6.956,0.668,0,spotify:track:6BNMAb82xLiPv1ZngMQOBK
7cwDTm3iGh2R9Jcelko15v,MI Diablo,La Vela Puerca,0.802,0.251,158.911,0.0326,0.265,0.0002,4,0.507,7,185575,-7.695,0.709,1,spotify:track:7cwDTm3iGh2R9Jcelko15v
0kFfC97BVMWdBRoDVtRbjV,Flores Negras,Guasones,0.624,0.105,89.955,0.0304,0.336,0.000346,4,0.695,0,253280,-7.853,0.36,1,spotify:track:0kFfC97BVMWdBRoDVtRbjV
2IK2d5jUGTOEUTUSGBv6VA,A Tu Lao,Pedro LaDroga,0.718,0.0878,140.055,0.0428,0.0124,0.00201,4,0.697,2,198912,-6.195,0.805,0,spotify:track:2IK2d5jUGTOEUTUSGBv6VA
5LIHbW6EG9IRlIaXfcuFnH,No Tengo Ganas,Intoxicados,0.571,0.198,122.011,0.0298,0.0762,0.000143,4,0.62,0,311040,-9.004,0.765,1,spotify:track:5LIHbW6EG9IRlIaXfcuFnH
2zi3DFDrmxPOZVYMwTDVuk,Bimbiminkia4life (with Fedez),J-AX,0.94,0.248,117.959,0.138,0.225,0.0,4,0.757,11,225093,-3.548,0.81,1,spotify:track:2zi3DFDrmxPOZVYMwTDVuk
4uwvbGAZEpZdOY82UUMpgO,Bellaria,Vegas Jones,0.584,0.115,148.657,0.321,0.0754,0.0,4,0.521,8,177960,-8.443,0.264,1,spotify:track:4uwvbGAZEpZdOY82UUMpgO
4zI2FjKRrdP6LxTO8PYh69,La Stazione Dei Ricordi,Ultimo,0.265,0.369,149.758,0.172,0.876,2.01e-06,3,0.539,4,250000,-14.813,0.376,1,spotify:track:4zI2FjKRrdP6LxTO8PYh69
4ykrjxWRmQKgtVHVmujrkJ,Avión de Papel,Los Tabaleros,0.55,0.103,87.995,0.0341,0.529,1.01e-05,4,0.652,7,215587,-6.704,0.72,1,spotify:track:4ykrjxWRmQKgtVHVmujrkJ
6ZM2H3Ml8OD3cCbzaDC1Oi,Konfussion,Pedro LaDroga,0.565,0.143,101.96,0.0354,0.0635,2.77e-06,4,0.682,0,208529,-8.164,0.469,1,spotify:track:6ZM2H3Ml8OD3cCbzaDC1Oi
6RiprjTTheMrJ2ypJxz3H4,Riccione,Thegiornalisti,0.905,0.0514,109.928,0.0851,0.0127,0.0,4,0.594,7,196861,-4.921,0.559,0,spotify:track:6RiprjTTheMrJ2ypJxz3H4
1Lf1VuA7hKnxtAYREcEOg2,Locales Calientes,Guasones,0.825,0.108,135.855,0.0435,0.00234,0.0,4,0.487,0,271639,-3.995,0.777,1,spotify:track:1Lf1VuA7hKnxtAYREcEOg2
7odGv2hlwDXsKUU9frxgNJ,La jermu del cobani,Gustavo Pena El Príncipe,0.789,0.092,127.645,0.0359,0.804,0.00346,4,0.866,0,132200,-5.667,0.977,1,spotify:track:7odGv2hlwDXsKUU9frxgNJ
3i9Xk6dQsgM5lJJwKOH8PW,Il bello d'esser brutti,J-AX,0.892,0.336,97.928,0.0585,0.00711,0.0,4,0.64,9,209013,-3.901,0.827,1,spotify:track:3i9Xk6dQsgM5lJJwKOH8PW
5lWYNP1Z8myDJBhmWK3yKl,101 Dalmatas (feat. Marvin Cruz),Yung Beef,0.688,0.0853,135.955,0.0461,0.137,3.16e-06,4,0.825,9,155547,-4.129,0.57,0,spotify:track:5lWYNP1Z8myDJBhmWK3yKl
7HL7EyuqIHLX0LTr8kvBsc,MweeGwod,Pedro LaDroga,0.764,0.305,119.939,0.216,0.00288,0.00104,4,0.694,1,172771,-9.493,0.472,1,spotify:track:7HL7EyuqIHLX0LTr8kvBsc
7J0AaU4fjs3APe1XAvKuKc,Papi papi,Vegas Jones,0.84,0.284,110.063,0.0983,0.164,0.0,4,0.721,1,142168,-4.389,0.709,1,spotify:track:7J0AaU4fjs3APe1XAvKuKc
7jUJ2RmT4PFHHq4goMWqm3,Chic,Izi,0.628,0.195,129.996,0.187,0.269,0.0,4,0.471,2,212640,-6.197,0.19,0,spotify:track:7jUJ2RmT4PFHHq4goMWqm3
3fhBpw640drQ2h0INgs1mS,Tua mamma,J-AX,0.885,0.0915,102.021,0.0535,0.0328,0.0,4,0.748,10,222227,-5.574,0.901,0,spotify:track:3fhBpw640drQ2h0INgs1mS
6F5y1lrzsOX3kffTp91TbF,Extraña Sensación,Guasones,0.551,0.104,123.964,0.0363,0.0103,0.0,4,0.71,9,250972,-6.251,0.647,1,spotify:track:6F5y1lrzsOX3kffTp91TbF
19LRRuiMQ8a9jhqSf8jVip,El Party,Jake La Furia,0.804,0.0577,123.986,0.0344,0.00387,0.0,4,0.672,6,211418,-5.746,0.57,0,spotify:track:19LRRuiMQ8a9jhqSf8jVip
48iaoK4m7IxW42zZ0PPSDt,Zamba del medio segundo,Gustavo Pena El Príncipe,0.446,0.817,107.268,0.132,0.703,6.11e-06,4,0.465,7,138707,-8.737,0.4,1,spotify:track:48iaoK4m7IxW42zZ0PPSDt
2CFDPiNUxcSOqfQtUHYNxF,De Nada Sirve,No Te Va Gustar,0.454,0.784,177.085,0.037,0.306,1.89e-05,3,0.585,4,237874,-9.91,0.499,1,spotify:track:2CFDPiNUxcSOqfQtUHYNxF
57woiRYi9fNngxATydUgaO,TOCCA A ME (feat. Jake La Furia),Vegas Jones,0.727,0.147,94.86,0.406,0.117,0.0,4,0.803,7,155242,-7.972,0.767,0,spotify:track:57woiRYi9fNngxATydUgaO
5FW8280twRpSVQtv70H9Qv,Muchacha,Fémina,0.783,0.105,97.347,0.109,0.24,0.0,4,0.631,4,261992,-6.308,0.78,0,spotify:track:5FW8280twRpSVQtv70H9Qv
3TSl7YncGwUGH0aPuoGUBh,Heaven or Hell - En Vivo Acústico,Guasones,0.839,0.708,134.216,0.0402,0.0244,2.56e-05,4,0.582,7,255787,-6.102,0.512,1,spotify:track:3TSl7YncGwUGH0aPuoGUBh
1bkkbtMn3fitbaxeReKFd8,Santoro e peyote,J-AX,0.868,0.693,110.034,0.0568,0.318,0.0,4,0.771,5,223707,-2.39,0.932,1,spotify:track:1bkkbtMn3fitbaxeReKFd8
13iGJobkZxCXtOC5MbtUJp,Milonga para una niña (Alfredo Zitarrosa),Gustavo Pena El Príncipe,0.402,0.206,93.634,0.156,0.784,0.0,4,0.53,9,211280,-9.763,0.709,0,spotify:track:13iGJobkZxCXtOC5MbtUJp
2D7cxrKpa7l2z2micrKVJe,Foll_arte,Pedro LaDroga,0.804,0.103,140.033,0.0607,0.201,0.000582,4,0.699,11,138304,-8.119,0.642,1,spotify:track:2D7cxrKpa7l2z2micrKVJe
4iHcVgRUU8qS8AEEXOUZmR,Montana Ciocias,Vegas Jones,0.717,0.0957,150.056,0.277,0.0868,4.31e-06,4,0.726,2,99200,-7.133,0.396,1,spotify:track:4iHcVgRUU8qS8AEEXOUZmR
7Fl40HsZpABPnTgFAM4YLk,Dancehall,Afrojuice 195,0.724,0.0762,105.036,0.228,0.477,0.0,4,0.908,1,254286,-7.814,0.84,0,spotify:track:7Fl40HsZpABPnTgFAM4YLk
4wGecpdpXwzaFPgZDecKka,Me estás tratando mal,Guasones,0.58,0.0875,98.028,0.0246,0.0827,0.0,4,0.576,4,217359,-5.439,0.579,1,spotify:track:4wGecpdpXwzaFPgZDecKka
1kxx74eV5H4mYUiQIvONhp,Buen Dia Maria,Adrián Berra,0.25,0.107,95.852,0.0379,0.888,0.0,4,0.667,0,139293,-12.044,0.452,1,spotify:track:1kxx74eV5H4mYUiQIvONhp
7j1v8nmGcYBroIUt5zJtKz,Imaginando buenas,Gustavo Pena El Príncipe,0.511,0.391,79.189,0.0755,0.72,0.0,4,0.541,2,379000,-9.263,0.72,0,spotify:track:7j1v8nmGcYBroIUt5zJtKz
7f2ouEpuPefmdZZg5Yxxah,Matame Ya,Pedro LaDroga,0.733,0.21,81.801,0.0383,0.00666,0.00115,3,0.318,9,209925,-5.29,0.273,0,spotify:track:7f2ouEpuPefmdZZg5Yxxah
6sDsSEVZID6rJAd4vhuRvK,Il giorno e la notte (feat. Giusy Ferreri),J-AX,0.782,0.144,158.144,0.105,0.00831,0.0,4,0.577,1,211200,-8.532,0.61,1,spotify:track:6sDsSEVZID6rJAd4vhuRvK
7upAH0ezzsThyvr33YKn4u,Pasos Al Costado,Turf,0.901,0.355,125.976,0.0311,0.02,0.0,4,0.589,2,254147,-3.442,0.795,1,spotify:track:7upAH0ezzsThyvr33YKn4u
4hwwDxMDxwNbCyUJuI5sLa,Trankilo,Vegas Jones,0.799,0.0935,124.182,0.182,0.0107,0.0,4,0.789,10,240000,-4.696,0.385,0,spotify:track:4hwwDxMDxwNbCyUJuI5sLa
6Lc0La3OwOmAouQjbID4uX,Nera,Irama,0.819,0.165,133.997,0.105,0.136,0.0,4,0.767,0,174147,-5.114,0.799,1,spotify:track:6Lc0La3OwOmAouQjbID4uX
